Row,Labels,sp gen,common name,fam,gen,sp,ColumnID,allgeier_FFG,Valdivia_FFG2,Valdivia_FFG_big Pred Cat,Valdivia_FFG,tp,Valdivia_TP,transient,chondrichthyes,notes,weak tp est.,a.Valdivia,b.Valdivia,a.Allgeier,b.Allgeier,a.final,b.final,Valdivia Value,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp,GerreidaeGerressp
Heteropriacanthus,cruentatus,Heteropriacanthus cruentatus,glasseye snapper,Priacanthidae,Heteropriacanthus,cruentatus,Priacanthidaespsp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.5,3.75,n,n,,,0.0188,3,NA,NA,0.0188,3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gobiidae,,Gobiidae,Gobiidae,Gobiidae,Gobiidae,,NM,#N/A,Small Omnivore,Omnivore,Omnivore,,2.29,n,n,,,0.0035,3.766,NA,NA,0.0035,3.766,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amblycirrhitus,pinos,Amblycirrhitus pinos,goby,Cirrhitidae,Amblycirrhitus,pinos,NM,#N/A,Microinvertivore,Microinvertivore,Microinvertivore,#N/A,3.23,n,n,no model,,0.0026,3.4566,NA,NA,0.0026,3.4566,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoplectrus,gummigutta,Hypoplectrus gummigutta,golden hamlet,Serranidae,Hypoplectrus,chlorurus,Serranidaespsp,Macroinvertivore,Piscivore Invertivore,pred,Piscivore Invertivore,3.2,3.81,n,n,,,0.011,3.182,0.00903,3.151666667,0.011,3.182,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnatholepis,thompsoni,Gnatholepis thompsoni,Goldspot Goby,Gobiidae,Gnatholepis,thompsoni,NM,#N/A,Small Omnivore,Omnivore,Omnivore,,2.29,n,n,,,NA,NA,NA,NA,NA,NA,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epinephelus,itajara,Epinephelus itajara,goliath grouper,Serranidae,Epinephelus,itajara,SerranidaeEpinephelussp,Piscivore,Piscivore Invertivore,pred,Piscivore,4.5,4.09,n,n,,,0.0131,3.056,0.00946,3.17,0.0131,3.056,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomacanthus,arcuatus,Pomacanthus arcuatus,gray angelfish,Pomacanthidae,Pomacanthus,arcuatus,Pomacanthidaespsp,omnivore,Large Omnivore,Omnivore,Omnivore,2.8,2.91,n,n,,,0.0203,3.126,0.0319,2.899,0.0203,3.126,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lutjanus,griseus,Lutjanus griseus,gray snapper,Lutjanidae,Lutjanus,griseus,LutjanidaeLutjanusgriseus,Piscivore-Invertivore,Piscivore Invertivore,pred,Piscivore Invertivore,4.4,4.25,n,n,,,0.0232,2.8809,0.00005,2.896,0.0232,2.8809,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cephalopholis,cruentata,Cephalopholis cruentata,graysby,Serranidae,Cephalopholis,cruentata,Serranidaespsp,Piscivore-Invertivore,Piscivore Invertivore,pred,Piscivore Invertivore,4.2,4.23,n,n,,,0.0121,3.082,0.00903,3.151666667,0.0121,3.082,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphyraena,barracuda,Sphyraena barracuda,great barracuda,Sphyraenidae,Sphyraena,barracuda,SphyraenidaeSphyraenasp,Top Predators,Apex predator,pred,Piscivore,4.5,4.5,n,n,,,0.0063,3,0.0192,2.8,0.0063,3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seriola,dumerili,Seriola dumerili,greater amberjack,Carangidae,Seriola,dumerili,Carangidaespsp,Top Predators,Apex predator,pred,Piscivore,4.5,4.5,y,n,,,0.0325,2.87,0.022966667,2.945,0.0325,2.87,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rypticus,saponaceus,Rypticus saponaceus,greater soapfish,Serranidae,Rypticus,saponaceus,Serranidaespsp,Macroinvertivore,Piscivore Invertivore,pred,Piscivore Invertivore,3.2,4.06,n,n,,,0.001,1,0.00903,3.151666667,0.001,1,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnothorax,funebris,Gymnothorax funebris,green moray,Muraenidae,Gymnothorax,funebris,MuraenidaeGymnothoraxsp,Top Predators,Apex predator,pred,Piscivore,4.5,4.01,n,n,,,0.0041,2.856,0.0003,3.43,0.00527751,2.856,y,used the values for green moray that I got from bonsack directly myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparisoma,atomarium,Sparisoma atomarium,greenblotch parrotfish,Scaridae,Sparisoma,atomarium,ScaridaeSparisomasp,Herbivores,Herbivore,Herbivore,Herbivore,2,2,n,n,,,0.0122,3.028,0.017133333,3.043666667,0.0122,3.028,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balistes,capriscus,Balistes capriscus,grey triggerfish,Balistidae,Balistes,capriscus,BalistidaeBalistessp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.4,3.4,n,n,,,0.0203,3.126,0.042866667,2.8868,0.0203,3.126,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoplectrus,sp.,Hypoplectrus sp.,hamlets,Serranidae,Hypoplectrus,sp.,Serranidaespsp,Macroinvertivore,Piscivore Invertivore,pred,Piscivore Invertivore,3.8,3.65,n,n,,,0.0099,3.1818,0.00903,3.151666667,0.0099,3.1818,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serranus,tigrinus,Serranus tigrinus,harlequin bass,Serranidae,Serranus,tigrinus,Serranidaespsp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.7,3.72,n,n,,,0.0145,3.048,0.00903,3.151666667,0.0145,3.048,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pareques,acuminatus,Pareques acuminatus,high hat,Sciaenidae,Pareques,acuminatus,SciaenidaeParequesacuminatus,Microinvertivore,Microinvertivore,Microinvertivore,Microinvertivore,3.2,3.6,n,n,,,0.00871,3.202,0.00871,3.202,0.00871,3.202,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnolaimus,maximus,Lachnolaimus maximus,hogfish,Labridae,Lachnolaimus,maximus,LabridaeLachnolaimusmaximus,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,2.7,3.93,n,n,,,0.0237,2.95,0.0304,2.883,0.0237,2.95,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthostracion,polygonius,Acanthostracion polygonius,honeycomb cowfish,Ostraciidae,Acanthostracion,quadricornis,Ostraciidaespsp,omnivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.5,3.35,n,n,,,0.0517,2.679,0.0295,3,0.0517,2.679,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caranx,latus,Caranx latus,horse-eye jack,Carangidae,Caranx,latus,CarangidaeCaranxsp,Piscivore,Piscivore Invertivore,pred,Piscivore,4.5,4.36,y,n,,,0.021,2.97,0.022966667,2.945,0.021,2.97,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tylosurus,crocodilus,Tylosurus crocodilus,houdfish,Belonidae,Tylosurus,crocodilus,BelonidaeTylosuruscrocodilus,Piscivore,Piscivore Invertivore,pred,Piscivore,4.5,4.47,p,n,,,0.0008,3.205,0.0009,3.19,0.0008,3.205,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tylosurus,crocodilus,Tylosurus crocodilus,houdfish,Belonidae,Tylosurus,crocodilus,BelonidaeTylosurussp,Piscivore,Piscivore Invertivore,pred,Piscivore,4.5,4.47,p,n,,,0.0008,3.205,0.0009,3.19,0.0008,3.205,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoplectrus,(Hybrid),Hypoplectrus (Hybrid),Hybrid Hamlet,Serranidae (hamlet),Hypoplectrus,(Hybrid),Serranidaespsp,Piscivore Invertivore,Piscivore Invertivore,pred,Piscivore Invertivore,3.7,3.7,n,n,,,NA,NA,0.00903,3.151666667,0.00903,3.151666667,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoplectrus,indigo,Hypoplectrus indigo,indigo hamlet,Serranidae,Hypoplectrus,indigo,Serranidaespsp,Macroinvertivore,Piscivore Invertivore,pred,Piscivore Invertivore,3.2,3.85,n,n,,,0.011,3.182,0.00903,3.151666667,0.011,3.182,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equetus,lanceolatus,Equetus lanceolatus,jackknife fish,Sciaenidae,Equetus,lanceolatus,SciaenidaeParequesacuminatus,Microinvertivore,Microinvertivore,Microinvertivore,Microinvertivore,3.2,3.41,n,n,,,0.0011,3.844,0.00871,3.202,0.0011,3.844,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calamus,bajonado,Calamus bajonado,jolthead porgy,Sparidae,Calamus,bajonado,SparidaeCalamussp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.3,3.17,p,n,,,0.0439,2.82,0.0457,2.82,0.0439,2.82,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scomberomorus,caballa,Scomberomorus caballa,King Mackerel,Scombridae,Scomberomorus,caballa,Scombridaespsp,Piscivore Invertivore,Piscivore Invertivore,pred,Piscivore,4.5,4.5,y,n,,,NA,NA,0.0202,2.8,0.0202,2.8,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callionymus,bairdi,Callionymus bairdi,Lancer dragonet,Callionymidae,Callionymus,bairdi,NM,#N/A,Microinvertivore,Microinvertivore,Microinvertivore,,3.26,n,n,,,NA,NA,NA,NA,NA,NA,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
